Protein1 Protein2 tmscore tmscore-CP
1hdkA 1azdA 0.49750 0.74310
1hixA 1zm1A 0.46486 0.56125
1hqlA 2gdfA 0.45945 0.87033
1is3A 1apnA 0.52004 0.72322
1is3A 1azdA 0.52360 0.73149
1is3A 1mvqA 0.52315 0.73151
1is3A 2cwmA 0.52084 0.72982
1is3A 1h9wA 0.52155 0.73404
1is3A 1wuvA 0.52203 0.73223
1j8kA 1wwbX 0.51114 0.56586
1jbjA 1sy6A 0.57763 0.68978
1jp5A 1dzbA 0.80556 0.91556
1k5jA 1ft3A 0.51547 0.51770
1kjlA 1mvqA 0.51204 0.72971
1kjlA 1apnA 0.51449 0.73229
1kjlA 1azdA 0.51196 0.73219
1kjlA 1h9pA 0.51225 0.73042
1kjlA 1h9wA 0.51058 0.73008
1kjlA 2d3pA 0.50765 0.72585
1kjlA 1dglA 0.51470 0.73201
1kwnA 2frgP 0.25639 0.30382
1lgbA 1cn1A 0.53405 0.88030
1lhnA 1ajoA 0.39537 0.69188
1lteA 1h9pA 0.46507 0.91419
1lteA 1h9wA 0.46597 0.91420
1lteA 1dglA 0.46588 0.91580
1lteA 2gdfA 0.45808 0.88003
1macA 1cpnA 0.72931 0.97259
1macA 1ajoA 0.57692 0.98077
1macA 1ajkA 0.56829 0.94197
1macA 1axkA 0.72990 0.97281
1mveA 1gbgA 0.61690 0.79967
1mveA 1u0aA 0.61593 0.79782
1mveA 1macA 0.61620 0.80159
1mveA 1byhA 0.61573 0.79285
1mveA 1upsA 0.59647 0.75637
1mveA 1o4zA 0.61130 0.79992
1mveA 1uaiA 0.48375 0.58331
1mveA 1g8wA 0.48157 0.60213
1mveA 1guiA 0.33291 0.24456
1mveA 1oh3A 0.31543 0.43816
1mveA 1mvqA 0.47588 0.60086
1mveA 1w90A 0.31760 0.43944
1mveA 1w8uA 0.31547 0.44465
1mveA 1gwkA 0.31634 0.43795
1mveA 1w8tA 0.27574 0.44348
1mveA 1w8zA 0.31692 0.44151
1mvqA 2fmdA 0.48706 0.95636
1mvqA 1q8oA 0.48093 0.93259
1mvqA 1dbnA 0.47225 0.93519
1mvqA 1ciwA 0.47468 0.89757
1mvqA 1n47A 0.46927 0.92515
1mvqA 1fnyA 0.47946 0.92303
1mvqA 1bzwA 0.47479 0.89806
1mvqA 1ax0A 0.47214 0.91941
1mvqA 1lteA 0.47195 0.91935
1mvqA 2bqpA 0.47512 0.90304
1mvqA 1gz9A 0.47235 0.92300
1mvqA 1uzyA 0.47332 0.91868
1mvqA 1fyuA 0.47157 0.91963
1mvqA 1sfyA 0.47271 0.92301
1mvqA 1bjqA 0.50094 0.91563
1mvqA 1wblA 0.47222 0.91180
1mvqA 1dzqA 0.46926 0.90996
1mvqA 1g8wA 0.47418 0.91155
1mvqA 1fatA 0.47435 0.91093
1mvqA 1hqlA 0.46740 0.89738
1mvqA 1fx5A 0.47550 0.90306
1mvqA 1gnzA 0.46391 0.89371
1mvqA 1f9kA 0.46567 0.89096
1mvqA 1ofsA 0.42716 0.70795
1mvqA 1loaA 0.42965 0.70614
1mvqA 1avbA 0.43785 0.86598
1mvqA 1bqpA 0.42679 0.70665
1mvqA 2b7yA 0.42743 0.70821
1mvqA 1ioaA 0.44014 0.87575
1mvqA 1lofC 0.42831 0.70525
1mvqA 1rinA 0.42684 0.70387
1mvqA 1lemA 0.42997 0.71036
1mvqA 1lgcA 0.42848 0.70869
1mvqA 1lgbA 0.42764 0.70655
1mvqA 1dhkB 0.42019 0.74069
1mvqA 1viwB 0.42415 0.75150
1mvqA 2a6vA 0.38122 0.70203
1mvqA 1gv9A 0.38755 0.73285
1mvqA 2a6zA 0.38262 0.70357
1mvqA 2a6yA 0.38670 0.71484
1mvqA 1vavA 0.35062 0.56954
1mvqA 1j1tA 0.34409 0.57830
1mvqA 1kgyA 0.33663 0.47240
1mvqA 1oq1A 0.34231 0.63247
1n3oA 1wuvA 0.46865 0.91577
1n3oA 2cwmA 0.47026 0.91725
1n3oA 1h9wA 0.46992 0.91820
1n3oA 1azdA 0.47197 0.92269
1n3oA 1mvqA 0.47238 0.91931
1n3oA 1h9pA 0.46982 0.91800
1n3oA 1dglA 0.47177 0.92409
1n3oA 2d3pA 0.47016 0.91808
1n3oA 2cnaA 0.46506 0.90874
1n47A 2gdfA 0.46693 0.90522
1nc7A 1al0G 0.44380 0.51321
1o4tA 1hixA 0.43624 0.43624
1o4yA 1axkA 0.52035 0.70578
1o4yA 1ajkA 0.42010 0.68098
1o4yA 1ajoA 0.39937 0.68094
1o4yA 1mveA 0.53404 0.70138
1o4yA 1zm1A 0.53235 0.70618
1oo2A 1zldA 0.38766 0.52327
1oq1A 1ajoA 0.39155 0.65170
1oq1A 2gdfA 0.35999 0.68750
1oq1A 1h9pA 0.37262 0.68529
1oq1A 1wuvA 0.37045 0.68478
1qokA 2gjjA 0.85766 0.95299
1qokA 1jp5A 0.83954 0.96274
1qokA 1h8oA 0.78923 0.91200
1qokA 1h8nA 0.81498 0.92807
1qokA 1x9qA 0.82038 0.90649
1qu0A 1ajoA 0.40025 0.69195
1qvyA 1gff2 0.44861 0.44861
1r1zA 2cwmA 0.38615 0.72566
1r1zA 2d3pA 0.38551 0.72539
1r1zA 1wuvA 0.38205 0.72341
1r1zA 1dglA 0.38749 0.71994
1r1zA 1mvqA 0.38671 0.72721
1r1zA 1h9pA 0.38647 0.71937
1r1zA 1h9wA 0.38636 0.71901
1r1zA 1azdA 0.38741 0.72436
1r1zA 2gdfA 0.38404 0.71740
1r1zA 1cpmA 0.48008 0.59481
1rlwA 1a25A 0.70971 0.79943
1rlwA 2bwqA 0.68971 0.78616
1rlwA 1v27A 0.68965 0.78152
1sfyA 1h9pA 0.46619 0.91530
1sfyA 1h9wA 0.46656 0.91462
1sfyA 2gdfA 0.45919 0.88076
1sfyA 1y43B 0.40399 0.48795
1slaA 2cwmA 0.51996 0.72630
1slaA 1mvqA 0.52361 0.72942
1slaA 1wuvA 0.52164 0.72948
1slaA 1apnA 0.51547 0.72161
1slaA 1h9wA 0.52164 0.72749
1slaA 2gdfA 0.52219 0.72762
1slaA 1dglA 0.52626 0.73162
1sn0A 1cqkA 0.43414 0.47774
1tnrA 1apnA 0.46702 0.56230
1ttcA 1czyA 0.36270 0.56008
1ttrA 2cwrA 0.33854 0.40749
1u0aA 1cpmA 0.72591 0.98010
1u0aA 1ajoA 0.57542 0.97558
1u0aA 1cpnA 0.72398 0.95794
1u0aA 1axkA 0.72479 0.95787
1uaiA 1ajoA 0.34744 0.62957
1uaiA 1ajkA 0.40733 0.62753
1urxA 1axkA 0.52243 0.70999
1urxA 1ajoA 0.40122 0.68415
1urxA 1ajkA 0.42253 0.68399
1urxA 1mveA 0.53812 0.70926
1urxA 1zm1A 0.53672 0.71348
1usqA 2ixqA 0.60703 0.65015
1uzyA 1h9pA 0.46880 0.91546
1uzyA 1h9wA 0.46909 0.91468
1uzyA 2gdfA 0.46162 0.88122
1vavA 1h9wA 0.33955 0.60044
1vavA 2d3pA 0.35832 0.59825
1vavA 1h9pA 0.33856 0.59942
1vavA 2cwmA 0.37230 0.60162
1vavA 1azdA 0.35557 0.60166
1vavA 1wuvA 0.34325 0.60346
1vavA 1dglA 0.35735 0.60089
1vavA 1mveA 0.55066 0.64461
1viwB 1wuvA 0.49975 0.88048
1w6mA 2cwmA 0.52266 0.73299
1w6mA 1mvqA 0.52611 0.73389
1w6mA 1azdA 0.52533 0.73284
1w6qA 2gdfA 0.51084 0.71631
1w6qA 2d3pA 0.51127 0.71551
1w8tA 1ajoA 0.47268 0.66535
1w8zA 1ajoA 0.44408 0.64925
1w90A 1ajoA 0.41311 0.63533
1wbfA 1mvqA 0.46956 0.90946
1wbfA 1h9pA 0.46830 0.90854
1wbfA 2d3pA 0.46762 0.90857
1wbfA 1h9wA 0.46861 0.90898
1wbfA 1dglA 0.46876 0.91041
1wbfA 2gdfA 0.46258 0.87765
1wbfA 1azdA 0.46921 0.90682
1wblA 1h9pA 0.46914 0.90999
1wblA 2d3pA 0.46835 0.90916
1wblA 1h9wA 0.46983 0.91015
1wblA 1dglA 0.46979 0.91050
1wblA 1azdA 0.46960 0.90631
1wblA 2gdfA 0.46338 0.87768
1wlcA 1azdA 0.52303 0.73098
1wlcA 1mvqA 0.52279 0.72966
1wlcA 1apnA 0.51988 0.72167
1wlcA 2cwmA 0.52106 0.73276
1wlcA 1wuvA 0.52255 0.73101
1wlcA 2d3pA 0.52121 0.72915
1wldA 1mvqA 0.52359 0.73419
1wldA 1apnA 0.52102 0.72396
1wldA 2cwmA 0.52172 0.73401
1wldA 1h9wA 0.52373 0.73395
1wldA 1wuvA 0.52321 0.73289
1wlwA 1mvqA 0.52198 0.73207
1wlwA 1azdA 0.52397 0.73035
1wlwA 1wuvA 0.52182 0.73057
1wlwA 2cwmA 0.52202 0.73216
1wlwA 1ajoA 0.39567 0.68287
1wmxA 1cpnA 0.36506 0.55317
1wuvA 2fmdA 0.48197 0.95110
1wuvA 1q8oA 0.47615 0.92737
1wuvA 1bjqA 0.49903 0.91775
1wuvA 1ciwA 0.47183 0.89576
1wuvA 1ax0A 0.47069 0.91918
1wuvA 1lteA 0.47001 0.91844
1wuvA 1g7yA 0.49378 0.91968
1wuvA 1fyuA 0.46982 0.91990
1wuvA 1n47A 0.46395 0.91099
1wuvA 1sfyA 0.47106 0.91956
1wuvA 1uzyA 0.47207 0.91704
1wuvA 1gslA 0.47078 0.90336
1wuvA 1gz9A 0.47092 0.92088
1wuvA 1bzwA 0.47188 0.89593
1wuvA 2bqpA 0.47054 0.89476
1wuvA 1dbnA 0.46974 0.91996
1wuvA 1fnyA 0.47684 0.91381
1wuvA 1hqlA 0.46338 0.89563
1wuvA 1gnzA 0.46038 0.89215
1wuvA 1g8wA 0.47185 0.90631
1wuvA 1dzqA 0.46593 0.89667
1wuvA 1fatA 0.47201 0.90411
1wuvA 1wblA 0.46974 0.90689
1wuvA 1g9fA 0.47271 0.90326
1wuvA 1wbfA 0.46833 0.90582
1wuvA 1fx5A 0.46925 0.88744
1wuvA 1ofsA 0.42484 0.70239
1wuvA 1ioaA 0.43575 0.86579
1wuvA 1f9kA 0.46233 0.88220
1wuvA 1lemA 0.42490 0.70058
1wuvA 1avbA 0.43505 0.84934
1wuvA 1bqpA 0.42443 0.70065
1wuvA 1loaA 0.42688 0.69934
1wuvA 1rinA 0.42442 0.69682
1wuvA 1lofC 0.42583 0.69853
1wuvA 2b7yA 0.42345 0.70013
1wuvA 1lgcA 0.42734 0.70388
1wuvA 1lgbA 0.42481 0.69881
1wuvA 1dhkB 0.41660 0.73040
1wuvA 2a6vA 0.37659 0.69391
1wuvA 2a6xA 0.37591 0.69451
1wuvA 1gv9A 0.38171 0.73059
1wuvA 2a6zA 0.37751 0.69518
1wuvA 2a6yA 0.38205 0.70546
1x50A 1ajoA 0.35768 0.35768
1x7tA 1apnA 0.39474 0.39474
1x7tA 2cwrA 0.37257 0.40535
1xmwA 1sy6A 0.54887 0.65027
1y2tA 1wgoA 0.35552 0.35552
1y2tA 1v8hA 0.29420 0.31832
1y43B 1umzA 0.56048 0.65660
1yj5C 1du5A 0.46495 0.46495
1zcrA 2d4dA 0.41186 0.44802
1zldA 1namB 0.48906 0.59647
1zldA 1fo0B 0.48245 0.58774
1zm1A 1u0aA 0.61430 0.80030
1zm1A 1gbgA 0.61509 0.80309
1zm1A 1macA 0.61479 0.80469
1zm1A 1byhA 0.61376 0.79619
1zm1A 1dypA 0.58612 0.78320
1zm1A 1oq1A 0.48572 0.61646
1zm1A 1uaiA 0.48181 0.58578
1zm1A 1vavA 0.51681 0.61621
1zm1A 1mvqA 0.47191 0.59608
1zm1A 2cwsA 0.52028 0.62417
2a5zA 2gdfA 0.35942 0.63140
2a5zA 2cwmA 0.36266 0.63739
2a5zA 1mvqA 0.36226 0.63805
2a6xA 1mvqA 0.40869 0.75392
2a6xA 1azdA 0.40879 0.75429
2a6xA 2cwmA 0.40523 0.74752
2a6yA 1ajoA 0.31904 0.64050
2a6zA 1ajoA 0.37875 0.66491
2a6zA 1mveA 0.54820 0.68207
2a6zA 1cpmA 0.53883 0.66753
2amuA 1nqjA 0.39047 0.39047
2avgA 1w15A 0.48680 0.48680
2b14A 1nqjA 0.40340 0.48585
2bqpA 2gdfA 0.47946 0.91928
2c24A 1cpnA 0.42063 0.57708
2ccvA 2cumA 0.40102 0.51747
2cdpA 1h9wA 0.50571 0.59793
2cdpA 1rui1 0.39991 0.39991
2chdA 1q8mA 0.38918 0.38918
2cjtA 2bwqA 0.68204 0.78396
2cnaA 2fmdA 0.48268 0.94310
2cnaA 1q8oA 0.47097 0.91826
2cnaA 1ciwA 0.46969 0.88655
2cnaA 1bzwA 0.47005 0.88745
2cnaA 1n47A 0.46058 0.90338
2cnaA 1fnyA 0.47222 0.90533
2cnaA 1g7yA 0.49071 0.90678
2cnaA 1g8wA 0.46406 0.89485
2cnaA 1bjqA 0.49483 0.90347
2cnaA 1uzyA 0.46736 0.90309
2cnaA 1ax0A 0.46627 0.90587
2cnaA 1gz9A 0.46732 0.90894
2cnaA 1hqlA 0.45922 0.88589
2cnaA 1dzqA 0.45989 0.88586
2cnaA 1fyuA 0.46547 0.90639
2cnaA 1fatA 0.46395 0.89161
2cnaA 1lteA 0.46576 0.90516
2cnaA 1gnzA 0.45508 0.88292
2cnaA 1sfyA 0.46708 0.90691
2cnaA 1dbnA 0.46490 0.91022
2cnaA 1wbfA 0.46385 0.89742
2cnaA 2bqpA 0.46806 0.88775
2cnaA 1wblA 0.46363 0.89204
2cnaA 1f9kA 0.45760 0.87470
2cnaA 1fx5A 0.46661 0.87977
2cnaA 1avbA 0.43078 0.84708
2cnaA 1ioaA 0.43052 0.85636
2cnaA 1bqpA 0.41968 0.69254
2cnaA 1lgcA 0.42338 0.69704
2cnaA 1rinA 0.42005 0.69002
2cnaA 2b7yA 0.41951 0.69434
2cnaA 1ofsA 0.41975 0.69427
2cnaA 1loaA 0.42367 0.69359
2cnaA 1lofC 0.42161 0.69183
2cnaA 1lemA 0.42294 0.69703
2cnaA 1lgbA 0.42199 0.69455
2cnaA 1dhkB 0.41325 0.72039
2cnaA 2a6vA 0.37784 0.67921
2cnaA 2a6xA 0.37741 0.68064
2cnaA 1r1zA 0.40103 0.74309
2cnaA 1viwB 0.41725 0.73357
2cnaA 1gv9A 0.38097 0.72293
2cnaA 1oq1A 0.34411 0.62899
2cnaA 2a6zA 0.37742 0.69481
2cnaA 2a6yA 0.38204 0.69262
2cnaA 1g86A 0.31948 0.47812
2cwmA 2fmdA 0.48396 0.95320
2cwmA 1q8oA 0.47728 0.92801
2cwmA 1ciwA 0.47094 0.89324
2cwmA 1ax0A 0.46837 0.91942
2cwmA 1lteA 0.46791 0.91895
2cwmA 1uzyA 0.47031 0.91717
2cwmA 1sfyA 0.46909 0.92054
2cwmA 1n47A 0.46401 0.91145
2cwmA 1fyuA 0.46782 0.91973
2cwmA 1bjqA 0.49725 0.91536
2cwmA 1bzwA 0.47100 0.89358
2cwmA 1dbnA 0.46912 0.91913
2cwmA 1g7yA 0.49245 0.91484
2cwmA 1fnyA 0.47637 0.91413
2cwmA 1fatA 0.47128 0.90507
2cwmA 1gslA 0.47257 0.90227
2cwmA 1g8wA 0.47104 0.90763
2cwmA 1dzqA 0.46553 0.89567
2cwmA 1g9fA 0.47235 0.90232
2cwmA 1hqlA 0.46333 0.89529
2cwmA 2bqpA 0.47050 0.89351
2cwmA 1wblA 0.46845 0.90296
2cwmA 1gnzA 0.46042 0.89228
2cwmA 1wbfA 0.46706 0.90528
2cwmA 1fx5A 0.47075 0.88888
2cwmA 1f9kA 0.46180 0.88400
2cwmA 1ioaA 0.43914 0.87209
2cwmA 1ofsA 0.42270 0.70107
2cwmA 1bqpA 0.42374 0.70080
2cwmA 1loaA 0.42472 0.69790
2cwmA 1avbA 0.43495 0.85751
2cwmA 1lofC 0.42306 0.69682
2cwmA 1rinA 0.42371 0.69716
2cwmA 1lemA 0.42287 0.69990
2cwmA 2b7yA 0.42255 0.70040
2cwmA 1lgcA 0.42376 0.70107
2cwmA 1lgbA 0.42221 0.69767
2cwmA 1dhkB 0.41727 0.73192
2cwmA 2a6vA 0.37682 0.69442
2cwmA 1viwB 0.42190 0.74532
2cwmA 1gv9A 0.38350 0.72852
2cwmA 2a6yA 0.38237 0.70691
2cwmA 2a6zA 0.37805 0.69458
2cwsA 1mveA 0.54388 0.64305
2cwsA 1mvqA 0.36160 0.60099
2d3pA 2fmdA 0.48649 0.95483
2d3pA 1q8oA 0.47873 0.93136
2d3pA 1ciwA 0.47275 0.90094
2d3pA 1n47A 0.46735 0.92144
2d3pA 1dbnA 0.47132 0.93608
2d3pA 1fnyA 0.47877 0.92339
2d3pA 1ax0A 0.47076 0.92161
2d3pA 1uzyA 0.47250 0.91905
2d3pA 1lteA 0.47020 0.92097
2d3pA 2bqpA 0.47280 0.90258
2d3pA 1dzqA 0.46804 0.91088
2d3pA 1gz9A 0.47112 0.92316
2d3pA 1sfyA 0.47156 0.92233
2d3pA 1fyuA 0.47006 0.92201
2d3pA 1g8wA 0.47248 0.90930
2d3pA 1fatA 0.47267 0.90893
2d3pA 1fx5A 0.47343 0.89846
2d3pA 1hqlA 0.46523 0.89531
2d3pA 1f9kA 0.46380 0.88946
2d3pA 1gnzA 0.46201 0.89272
2d3pA 1avbA 0.43647 0.86675
2d3pA 1ofsA 0.42864 0.70873
2d3pA 1ioaA 0.43961 0.87372
2d3pA 1bqpA 0.42811 0.70717
2d3pA 2b7yA 0.42879 0.70885
2d3pA 1rinA 0.42839 0.70450
2d3pA 1loaA 0.43103 0.70648
2d3pA 1lofC 0.42992 0.70589
2d3pA 1lgcA 0.42934 0.70848
2d3pA 1lemA 0.43080 0.71009
2d3pA 1lgbA 0.42862 0.70626
2d3pA 1dhkB 0.41962 0.74144
2d3pA 1gv9A 0.38448 0.73130
2d3pA 2a6yA 0.38492 0.71326
2d3pA 2a6xA 0.37871 0.70112
2d3pA 1viwB 0.42388 0.75237
2d3pA 2a6zA 0.38102 0.70177
2d3pA 2a6vA 0.37741 0.70021
2d6kA 1ajoA 0.38529 0.69088
2d6kA 1h9wA 0.48251 0.72801
2d6oX 1ajkA 0.53225 0.68482
2d6oX 1ajoA 0.35232 0.68317
2d6oX 1mvqA 0.47049 0.69393
2d6oX 1dglA 0.47162 0.70431
2dleA 1yc7A 0.54633 0.54633
2dm4A 1xbrA 0.59402 0.59402
2dmhA 2d8kA 0.66842 0.74879
2exsC 2fqpA 0.41174 0.59424
2extA 2fqpA 0.41775 0.58127
2fnjA 1qtjA 0.43925 0.52093
2gdfA 2fmdA 0.49369 0.95397
2gdfA 1ciwA 0.48116 0.91696
2gdfA 1q8oA 0.48724 0.93254
2gdfA 1n3oA 0.48802 0.93492
2gdfA 1dzqA 0.47918 0.93089
2gdfA 1dbnA 0.48166 0.93844
2gdfA 1bjqA 0.51334 0.92075
2gdfA 1fx5A 0.48420 0.92428
2gdfA 1f9kA 0.47711 0.90831
2gdfA 1avbA 0.45069 0.88675
2gdfA 1loaA 0.44602 0.72831
2gdfA 1lemA 0.44540 0.73222
2gdfA 2b7yA 0.44170 0.72952
2gdfA 1lofC 0.44568 0.72869
2gdfA 1rinA 0.44171 0.72586
2gdfA 1ofsA 0.44282 0.73055
2gdfA 1bqpA 0.44121 0.72790
2gdfA 1ioaA 0.44998 0.88733
2gdfA 1lgcA 0.44333 0.73007
2gdfA 1lgbA 0.44237 0.72779
2gdfA 1dhkB 0.43218 0.76364
2gdfA 2a6vA 0.39811 0.72847
2gdfA 2a6xA 0.39747 0.72928
2gdfA 1viwB 0.43622 0.77350
2gdfA 2a6yA 0.40349 0.74206
2gdfA 2a6zA 0.39955 0.73186
2gdfA 1gv9A 0.39896 0.75423
2ghwB 1x9qA 0.80403 0.89091
2ghwB 1h8nA 0.80098 0.90395
2ghwB 2gjjA 0.83924 0.93129
2ghwB 1jp5A 0.82689 0.92612
2h50A 1wwbX 0.32707 0.30718
2ixqA 2bcmB 0.58047 0.62827
2ixqB 1usqA 0.66769 0.73506
2ixqB 1uszA 0.66841 0.74127
2ixqB 2bcmB 0.68777 0.75920
2nq3A 2b3rA 0.68112 0.76157
2nq3A 1bynA 0.68969 0.77025
2nq3A 2bwqA 0.62916 0.71446
1a4gA 1jjuB 0.49721 0.49622
1b9sA 2mtaH 0.53683 0.53683
1b9xA 1jjuB 0.68171 0.72405
1b9xA 1fwxA 0.73111 0.74342
1c9iA 1hzvA 0.60686 0.60656
1c9lA 1hzuA 0.60630 0.60688
1cvmA 1mg2A 0.55266 0.55266
1cvmA 1hzuA 0.55723 0.55729
1dilA 2g8sA 0.60593 0.60593
1e1aA 1jjuB 0.56637 0.59074
1e1aA 1jofA 0.65445 0.66884
1e1aA 2g8sA 0.70428 0.72418
1eurA 2mtaH 0.53781 0.59561
1eurA 2bbkH 0.53370 0.54059
1eurA 1gydB 0.55314 0.58089
1eurA 2i3sA 0.56947 0.57876
1gxrA 1jjuB 0.68428 0.73196
1gxrA 2mtaH 0.65650 0.70685
1gxrA 1mdaH 0.65432 0.70215
1gydB 1sntA 0.61902 0.61902
1gyhA 1eutA 0.59301 0.63918
1ijqA 2iaoA 0.66330 0.69021
1ijqA 2iapA 0.66339 0.68868
1ijqA 2iasA 0.66256 0.69064
1itvA 1u6dX 0.61543 0.58941
1iubA 1ncdN 0.68020 0.69350
1jjuB 2cnxA 0.67928 0.73198
1jjuB 2h9mA 0.68278 0.73353
1jjuB 1nexB 0.63855 0.71412
1jjuB 1q7fA 0.55682 0.60399
1jjuB 2hxcA 0.74225 0.74225
1jjuB 2b5nA 0.58898 0.66501
1jjuB 2iaqA 0.53233 0.57280
1jjuB 4nn9A 0.56877 0.59698
1jjuB 1v0zA 0.56984 0.56984
1jjuB 1ncbN 0.57017 0.59851
1jjuB 1inyA 0.56984 0.59602
1jmxB 2g99A 0.64857 0.69777
1jmxB 2cnxA 0.65227 0.68696
1jmxB 2aq5A 0.64954 0.72942
1jmxB 1c9lA 0.58670 0.64744
1jmxB 1pooA 0.55229 0.59611
1jmxB 1ofzA 0.55353 0.56678
1jmxB 1b9sA 0.55868 0.59421
1jmxB 3silA 0.55930 0.61782
1jmxB 2htvA 0.56408 0.59182
1jofA 1cvmA 0.61450 0.61450
1jofA 1jmxB 0.64396 0.64396
1jofA 2i3sA 0.67312 0.73653
1jofA 1x2jA 0.57575 0.57575
1jofA 1dilA 0.62671 0.62671
1jtdB 1jmxB 0.58335 0.59471
1l7gA 1jofA 0.55289 0.55289
1mdaH 1k8kC 0.50787 0.64462
1mdaH 1q7fA 0.50920 0.56387
1mdaH 2h9lA 0.61673 0.67078
1mdaH 2fp8A 0.48265 0.55677
1mdaH 2aq5A 0.60116 0.64704
1mg2A 1q7fA 0.49806 0.55006
1nccN 1cvmA 0.56007 0.56007
1nexB 1iubA 0.43808 0.43808
1npeA 2i3tA 0.69664 0.73492
1npeA 2fawA 0.59036 0.64291
1npeA 2batA 0.70151 0.75319
1ofzA 1inyA 0.67535 0.69557
1ofzA 2g99A 0.63984 0.63984
1ofzA 1c9lA 0.58441 0.63328
1olzA 1ofzA 0.35731 0.36452
1olzA 1gxrA 0.38089 0.41514
1olzA 1s4uX 0.38080 0.45224
1pexA 1u4cA 0.57177 0.58103
1pexA 2fawA 0.63687 0.62772
1pexA 2g99A 0.60006 0.58780
1q7fA 1ijqA 0.72223 0.79089
1q7fA 1gydB 0.56795 0.61330
1r5mA 1c9iA 0.60888 0.62602
1r5mA 1c9lA 0.60960 0.62101
1r5mA 1bpoA 0.61153 0.64543
1r5mA 2d5lA 0.63880 0.60304
1r5mA 1crzA 0.51606 0.51606
1ri6A 1gofA 0.71832 0.75518
1ri6A 1t2xA 0.71886 0.76385
1ri6A 2g8sA 0.55185 0.64049
1ri6A 2biwA 0.67743 0.69660
1ri6A 1eurA 0.58053 0.65298
1rtgA 2g9aA 0.58099 0.58099
1s18A 1pooA 0.53689 0.61728
1s18A 1k8kC 0.50168 0.50168
1s4uX 1bpoA 0.64843 0.64843
1s4uX 1dy7A 0.65785 0.67302
1sntA 1jmxB 0.55790 0.55790
1sntA 2mtaH 0.54082 0.60649
1sntA 1gyhA 0.55602 0.55602
1sq9A 1jjuB 0.58152 0.69028
1sq9A 2bbkH 0.60277 0.65963
1sq9A 1gydB 0.48392 0.49505
1tl2A 2iaoA 0.56211 0.61288
1tl2A 2iaqA 0.56209 0.61230
1txvA 1inyA 0.50806 0.52993
1txvA 1ncbN 0.50869 0.51238
1txvA 1wl7A 0.44625 0.44625
1u4cA 1c9lA 0.68314 0.70275
1u4cA 1zgkA 0.56904 0.56904
1u4cA 1crzA 0.55543 0.56018
1u4cA 2fp8A 0.62193 0.62193
1u4cA 2fpbA 0.61717 0.63459
1u4cA 3nn9A 0.61202 0.63381
1u4cA 1nmbN 0.61287 0.62148
1u6dX 2j04B 0.65709 0.65143
1u6dX 1c9lA 0.58613 0.65217
1u6dX 2f28A 0.74789 0.80050
1u6dX 1cvmA 0.70033 0.75818
1utcA 1hzuA 0.61748 0.61918
1uv4A 2f28A 0.64569 0.64569
1uv4A 2f24A 0.64956 0.64956
1v04A 2b4wA 0.52115 0.53671
1v04A 1s18A 0.55289 0.55289
1vyhC 1jmxB 0.71282 0.75275
1vyhC 1jjuB 0.74925 0.78794
1vyhC 2bzdA 0.63918 0.64013
1wl7A 2f28A 0.62716 0.64068
1x2jA 1xipA 0.60395 0.62169
1xipA 1jmxB 0.56655 0.58670
1yfqA 1v0zA 0.58504 0.60039
1yfqA 2b8hA 0.57953 0.59534
1yfqA 2htyA 0.58791 0.58791
1yfqA 1nmbN 0.58090 0.59868
1yfqA 1l7hA 0.58003 0.59596
1yfqA 3nn9A 0.58009 0.58009
1yfqA 1nnaA 0.58219 0.59791
1yfqA 6nn9A 0.58089 0.59457
1yfqA 1ncdN 0.57889 0.59821
1zgkA 1utcA 0.58233 0.61205
2aglA 1q7fA 0.53078 0.56060
2aglA 2bf6A 0.58059 0.62491
2aglA 1iubA 0.54432 0.55272
2aglA 2f24A 0.55846 0.60792
2aglA 2f26A 0.55538 0.61036
2b4wA 1e8tA 0.62555 0.62555
2b5nA 1ri6A 0.72039 0.79280
2b5nA 1jmxB 0.62011 0.70900
2b5nA 1u4cA 0.72427 0.76053
2b5nA 1wcqA 0.62480 0.62480
2bbkH 2h13A 0.64250 0.69648
2bbkH 1q7fA 0.52500 0.52500
2bbkH 1c9iA 0.58546 0.64931
2bbkH 1rwiB 0.50029 0.53923
2bbkH 1p22A 0.61126 0.65892
2bbkH 1qlgA 0.54398 0.57952
2bbkH 2ht5A 0.57256 0.57256
2bbkH 2batA 0.56634 0.56634
2bbkH 1nmaN 0.55783 0.61350
2bbkH 1l7hA 0.56759 0.56759
2bbkH 1v0zA 0.56886 0.56886
2bbkH 5nn9A 0.56880 0.61393
2bbkH 1l7gA 0.56704 0.56704
2bbkH 1ncaN 0.56753 0.61387
2bbkH 2b8hA 0.56731 0.56731
2bbkH 1nmbN 0.56943 0.61389
2bbkH 4nn9A 0.56787 0.61444
2bbkH 6nn9A 0.56868 0.61422
2bbkH 1ncdN 0.56783 0.61256
2bbkH 2htvA 0.56456 0.56456
2bbkH 2htyA 0.56221 0.56221
2bbkH 2aepA 0.56449 0.56449
2bbkH 1sntA 0.54089 0.59194
2bbkH 3nn9A 0.56817 0.56817
2bbkH 1a14N 0.56881 0.56881
2bbkH 1inyA 0.56753 0.61109
2bbkH 2fp8A 0.49704 0.57496
2bbkH 1infA 0.57893 0.57893
2bf6A 2mtaH 0.47090 0.50275
2bf6A 1zgkA 0.48766 0.53755
2cnxA 2mtaH 0.72451 0.79083
